name,address,pname,cityname,adname,adcode,lon_gcj02,lat_gcj02,typecode,大类,中类,小类,lon_wgs84,lat_wgs84,tel
停车场(金庄路),远流清园,北京市,北京市,海淀区,110108,116.277565,39.945538,150904,交通设施服务,停车场,公共停车场,116.27151975994872,39.94430609161434,0
老官园紫竹花鸟鱼虫市场停车场,长智路5号北京市海淀区智能学校附近,北京市,北京市,海淀区,110108,116.301857,39.942963,150905,交通设施服务,停车场,专用停车场,116.29577521262736,39.94169806812189,0
金悦海鲜(航天桥店)地面停车场,阜成路46号,北京市,北京市,海淀区,110108,116.292999,39.923668,150904,交通设施服务,停车场,公共停车场,116.28693546551288,39.92241769767474,0
北京香青园大酒店停车场,蓝靛厂南路5号北京香青园大酒店,北京市,北京市,海淀区,110108,116.293755,39.955276,150904,交通设施服务,停车场,公共停车场,116.28768626074962,39.95402332205591,0
海淀区地方税务局第二税务所停车场,知春路15号附近,北京市,北京市,海淀区,110108,116.323616,39.972878,150905,交通设施服务,停车场,专用停车场,116.3174839803533,39.97157242479639,0
裕惠大厦停车场,阜成路67号,北京市,北京市,海淀区,110108,116.298363,39.924274,150904,交通设施服务,停车场,公共停车场,116.2922900794289,39.92301549078664,0
停车场(德顺园北),0,北京市,北京市,海淀区,110108,116.258255,39.952747,150904,交通设施服务,停车场,公共停车场,116.25222052963186,39.95152800855327,0
金沟河违章事故停车场,西四环路金沟河桥下,北京市,北京市,海淀区,110108,116.274834,39.918865,150904,交通设施服务,停车场,公共停车场,116.26879478417008,39.91763682451297,0
北京邮电大学停车场(科学会堂南),西土城路10号北京邮电大学,北京市,北京市,海淀区,110108,116.358948,39.960842,150905,交通设施服务,停车场,专用停车场,116.35274061894,39.959472908891655,0
中国矿业大学停车场(清华东路),学院路丁11号中国矿业大学内,北京市,北京市,海淀区,110108,116.345497,39.999016,150904,交通设施服务,停车场,公共停车场,116.33931209691065,39.99766804653672,0
中国政法大学停车场(出入口),西土城路25号,北京市,北京市,海淀区,110108,116.351639,39.96405,150909,交通设施服务,停车场,停车场出入口,116.34544555161558,39.96269269545924,0
海淀科技大厦停车场(入口),中关村南大街5号北京理工大学,北京市,北京市,海淀区,110108,116.322273,39.9613,150907,交通设施服务,停车场,停车场入口,116.31614549477948,39.9599974473384,0
海淀科技大厦停车场(入口),中关村南大街5号北京理工大学,北京市,北京市,海淀区,110108,116.322151,39.961327,150907,交通设施服务,停车场,停车场入口,116.31602376832907,39.9600246788024,0
搜狐媒体大厦停车场(中关村南三街),北四环中路中关村三桥南侧融科资讯中心园区搜狐媒体大厦,北京市,北京市,海淀区,110108,116.32591200000002,39.983479,150904,交通设施服务,停车场,公共停车场,116.31977339426444,39.982168600883824,0
海淀公园停车场,海淀公园路附近,北京市,北京市,海淀区,110108,116.292206,39.988293,150904,交通设施服务,停车场,公共停车场,116.2861356861788,39.98704126579946,0
