traj_id,path,timestamp
0,"[652, 3438, 2921, 3441, 5705, 83, 1093, 3846, 3848, 1690, 6206, 473, 2832, 2834, 137, 4469, 2504, 2856, 2503, 4466, 218, 3866, 441, 2899, 727, 216, 4522, 440, 1835, 2904]","[1477929876, 1477929910, 1477929953, 1477930050, 1477930091, 1477930128, 1477930148, 1477930158, 1477930162, 1477930168, 1477930189, 1477930210, 1477930224, 1477930250, 1477930270, 1477930286, 1477930306, 1477930312, 1477930315, 1477930322, 1477930338, 1477930351, 1477930357, 1477930368, 1477930386, 1477930400, 1477930411, 1477930423, 1477930430, 1477930432]"
1,"[4238, 193, 4249, 718, 1252, 509, 5202, 4663, 1230, 3468, 3465, 6112, 3320, 5420, 198, 842, 863, 843, 1360, 1353, 2490, 5366, 127, 813, 6021, 810]","[1477929908, 1477929946, 1477929952, 1477929970, 1477930019, 1477930054, 1477930066, 1477930078, 1477930104, 1477930122, 1477930126, 1477930136, 1477930150, 1477930165, 1477930186, 1477930203, 1477930214, 1477930220, 1477930228, 1477930237, 1477930251, 1477930262, 1477930273, 1477930285, 1477930292, 1477930328]"
2,"[2776, 1890, 147, 4419, 264, 2797, 4425]","[1477930004, 1477930058, 1477930063, 1477930070, 1477930077, 1477930080, 1477930093]"
3,"[2695, 4434, 4432, 4429, 5416, 5417, 2814]","[1477930024, 1477930032, 1477930038, 1477930041, 1477930046, 1477930056, 1477930066]"
4,"[3901, 4062, 4066, 351, 2296, 332, 345, 1857, 1863, 1867, 328, 2262, 2075, 1414, 1870, 5941, 5933, 320, 5942, 322]","[1477930054, 1477930062, 1477930074, 1477930082, 1477930094, 1477930108, 1477930119, 1477930129, 1477930136, 1477930146, 1477930170, 1477930192, 1477930199, 1477930210, 1477930226, 1477930238, 1477930240, 1477930241, 1477930252, 1477930271]"
5,"[1318, 1258, 1316, 511, 513, 1289, 777, 3766, 1113, 1296, 4258, 4262, 1197, 1596, 6201, 1592]","[1477930122, 1477930146, 1477930158, 1477930163, 1477930178, 1477930214, 1477930256, 1477930290, 1477930306, 1477930313, 1477930324, 1477930331, 1477930338, 1477930354, 1477930377, 1477930408]"
6,"[12, 170, 1493, 11, 2782, 212, 929, 6493, 5119, 919, 932, 74, 209, 211, 4368, 3019, 6560, 2480]","[1477930137, 1477930214, 1477930264, 1477930280, 1477930321, 1477930343, 1477930368, 1477930386, 1477930392, 1477930426, 1477930457, 1477930468, 1477930493, 1477930512, 1477930518, 1477930523, 1477930533, 1477930552]"
7,"[873, 3014, 4058, 3937, 5162, 5164, 5810, 308, 6246, 1415, 5181, 310, 2065, 2063, 4995, 3163, 4664, 39, 5042, 2556, 3003, 2716, 1479, 1476, 393]","[1477930198, 1477930216, 1477930251, 1477930283, 1477930285, 1477930294, 1477930337, 1477930384, 1477930429, 1477930442, 1477930472, 1477930488, 1477930500, 1477930518, 1477930540, 1477930552, 1477930553, 1477930562, 1477930571, 1477930578, 1477930586, 1477930592, 1477930604, 1477930620, 1477930642]"
8,"[2484, 1348, 801, 4698, 807, 6258, 6256, 811, 6019, 815, 841, 1284, 2491, 2487, 524, 325, 2123, 6251, 6249, 2075, 1414, 1870, 5940, 1869, 5186, 5939, 5941, 5933, 319, 5934, 5930, 5926, 2108, 5463, 4028, 2105, 2102]","[1477930200, 1477930241, 1477930258, 1477930272, 1477930286, 1477930294, 1477930313, 1477930325, 1477930330, 1477930337, 1477930360, 1477930370, 1477930424, 1477930476, 1477930500, 1477930519, 1477930540, 1477930560, 1477930572, 1477930605, 1477930639, 1477930656, 1477930667, 1477930669, 1477930670, 1477930673, 1477930682, 1477930690, 1477930693, 1477930728, 1477930828, 1477930871, 1477930876, 1477930882, 1477930885, 1477930892, 1477930906]"
9,"[3998, 3992, 859, 143, 387, 3053, 515, 6595, 4609, 1620, 1208, 1212, 5369, 871, 701, 2626, 346, 5166, 287]","[1477930243, 1477930275, 1477930289, 1477930314, 1477930348, 1477930368, 1477930375, 1477930382, 1477930404, 1477930423, 1477930466, 1477930513, 1477930567, 1477930612, 1477930622, 1477930642, 1477930657, 1477930678, 1477930698]"
