traj_id,mm_id,path,timestamp,driver_id
0,577,"[5497, 243, 7450, 8809, 8812, 245, 7938, 780, 8485, 8655, 837, 8275, 778, 8300, 8792, 7715, 8784, 947, 1059, 3360, 7930, 5503, 759, 763, 764, 4770, 862, 844]","[1372636853, 1372636898, 1372636909, 1372636912, 1372636913, 1372636919, 1372636928, 1372636943, 1372636958, 1372636978, 1372636988, 1372637040, 1372637048, 1372637061, 1372637063, 1372637073, 1372637078, 1372637093, 1372637097, 1372637103, 1372637108, 1372637116, 1372637123, 1372637153, 1372637163, 1372637166, 1372637168, 1372637213]",20000380
1,0,"[492, 1068, 490, 238, 3417, 8489, 3416, 235, 3400, 5136, 1165, 2376, 1058, 714, 716, 7036, 5692, 5694, 8269, 7832, 815, 814]","[1372636858, 1372636888, 1372636918, 1372636948, 1372636970, 1372636971, 1372636972, 1372636978, 1372636993, 1372637008, 1372637023, 1372637042, 1372637053, 1372637083, 1372637098, 1372637105, 1372637113, 1372637114, 1372637119, 1372637123, 1372637128, 1372637143]",20000589
2,10,"[7986, 10595, 7987, 47, 40, 42, 60, 10056, 872, 5698, 875, 52, 54, 57, 5135, 7069, 10404, 746, 10442, 740]","[1372636875, 1372636890, 1372636907, 1372636920, 1372636928, 1372636935, 1372636950, 1372636965, 1372636980, 1372637040, 1372637051, 1372637055, 1372637085, 1372637090, 1372637100, 1372637115, 1372637117, 1372637130, 1372637145, 1372637175]",20000233
3,51,"[52, 54, 57, 5135, 7070, 7071, 7066, 7073, 7086, 7846, 822, 820, 3113, 5682, 5683, 818, 922, 162, 8512, 11011, 8508, 264, 9728, 9339, 160, 5677, 808, 5707, 1692, 812, 816, 7831, 8267, 7052, 5691, 1735, 10479, 3454, 3452, 1485, 1487, 3447, 1494, 706]","[1372636956, 1372636970, 1372636971, 1372636991, 1372637016, 1372637031, 1372637040, 1372637046, 1372637074, 1372637076, 1372637121, 1372637132, 1372637136, 1372637151, 1372637159, 1372637162, 1372637166, 1372637196, 1372637201, 1372637211, 1372637217, 1372637223, 1372637226, 1372637241, 1372637248, 1372637252, 1372637256, 1372637263, 1372637266, 1372637271, 1372637274, 1372637281, 1372637286, 1372637301, 1372637310, 1372637311, 1372637316, 1372637331, 1372637361, 1372637376, 1372637383, 1372637391, 1372637396, 1372637406]",20000167
4,5,"[8500, 7855, 7737, 8810, 7451, 241, 5498, 7008, 6617, 380, 381, 5833, 5832, 1038, 5834, 410, 11088, 411, 404, 405, 398, 16, 10095, 13, 4805, 4807, 2179, 2219, 2202, 2205, 2211, 2215, 2190, 5198, 2192, 4903, 2234, 2195, 2250, 4911, 2233, 6139]","[1372636965, 1372636980, 1372636985, 1372636987, 1372636988, 1372636995, 1372637010, 1372637025, 1372637129, 1372637130, 1372637172, 1372637175, 1372637175, 1372637188, 1372637190, 1372637200, 1372637200, 1372637202, 1372637202, 1372637203, 1372637205, 1372637220, 1372637235, 1372637243, 1372637245, 1372637250, 1372637252, 1372637265, 1372637269, 1372637271, 1372637280, 1372637283, 1372637286, 1372637290, 1372637295, 1372637310, 1372637317, 1372637320, 1372637321, 1372637325, 1372637339, 1372637340]",20000231
5,6,"[11089, 414, 1090, 4696, 2173, 4745, 10305, 10304, 10301, 5660, 10216, 10217, 5662, 7252, 7254, 7250, 7256, 9165, 2166, 2157, 982, 991, 8768, 868, 7020, 768, 9100, 7899, 864, 9102, 865, 951, 850, 848, 7889, 7888, 858, 861, 7901, 764, 4770, 862, 844, 7814, 838, 7811, 6649, 940, 7804]","[1372637210, 1372637225, 1372637255, 1372637260, 1372637270, 1372637276, 1372637280, 1372637285, 1372637300, 1372637315, 1372637322, 1372637328, 1372637330, 1372637336, 1372637343, 1372637345, 1372637351, 1372637360, 1372637390, 1372637393, 1372637395, 1372637405, 1372637460, 1372637463, 1372637465, 1372637480, 1372637486, 1372637495, 1372637496, 1372637501, 1372637504, 1372637507, 1372637517, 1372637523, 1372637529, 1372637530, 1372637535, 1372637538, 1372637540, 1372637573, 1372637579, 1372637585, 1372637600, 1372637630, 1372637653, 1372637660, 1372637675, 1372637690, 1372637705]",20000456
6,55,"[1692, 812, 816, 7831, 8267, 7052, 5691, 1735, 10479, 3454, 3452, 1485, 1487, 3447, 1494, 706, 3492, 9560, 11054, 9451, 3502, 3504, 3503, 11055, 9559, 3493, 7235, 7237, 7238, 495, 794, 792, 522, 5162, 516, 518, 519, 5479, 5425, 6797, 9061, 183, 184, 1956, 5468, 266, 4568, 10424, 4554, 4556, 4557, 8521]","[1372637230, 1372637248, 1372637260, 1372637267, 1372637272, 1372637275, 1372637303, 1372637305, 1372637311, 1372637320, 1372637352, 1372637365, 1372637380, 1372637386, 1372637389, 1372637395, 1372637407, 1372637410, 1372637418, 1372637421, 1372637425, 1372637470, 1372637517, 1372637522, 1372637530, 1372637545, 1372637560, 1372637562, 1372637566, 1372637569, 1372637569, 1372637575, 1372637580, 1372637586, 1372637589, 1372637590, 1372637620, 1372637650, 1372637651, 1372637653, 1372637655, 1372637657, 1372637659, 1372637660, 1372637662, 1372637665, 1372637703, 1372637710, 1372637740, 1372637746, 1372637755, 1372637800]",20000503
7,95,"[7280, 7540, 11011, 8508, 264, 9728, 9339, 161, 8510, 372, 5107, 1723, 1713, 3283, 3281, 1711, 7082, 1168, 3278, 3286, 3288, 872, 5698, 875, 52, 54, 58, 23, 22, 75, 8237, 6768, 1062, 28]","[1372637247, 1372637277, 1372637293, 1372637297, 1372637301, 1372637303, 1372637307, 1372637322, 1372637337, 1372637352, 1372637367, 1372637382, 1372637385, 1372637387, 1372637388, 1372637391, 1372637392, 1372637395, 1372637397, 1372637406, 1372637409, 1372637412, 1372637422, 1372637426, 1372637427, 1372637487, 1372637502, 1372637511, 1372637517, 1372637532, 1372637577, 1372637591, 1372637592, 1372637607]",20000067
8,21,"[4276, 4280, 8961, 4290, 7131, 4130, 4120, 2707, 8819, 4310, 2678, 2033, 2718, 7491, 2036, 9040, 10185, 4237, 9630, 282, 279, 284, 274, 294, 300, 2634, 2645, 8358, 8361, 8368, 10571, 8370, 2285, 5371, 316, 317, 319, 6613, 8309, 6612, 8308, 6604, 8516, 8514, 6600, 6566, 6557, 1088, 6615, 151, 149, 362, 10171, 5007, 5110, 5126, 2084, 2087, 2369, 2086, 5124, 5, 6, 8026, 7565, 148, 8028, 8027, 2778, 2791, 2786, 322, 324, 2949, 327, 329, 331, 1078, 1075, 6796]","[1372637254, 1372637258, 1372637262, 1372637269, 1372637276, 1372637284, 1372637299, 1372637314, 1372637329, 1372637344, 1372637352, 1372637356, 1372637359, 1372637370, 1372637372, 1372637374, 1372637380, 1372637381, 1372637384, 1372637387, 1372637389, 1372637391, 1372637401, 1372637404, 1372637419, 1372637428, 1372637434, 1372637449, 1372637464, 1372637471, 1372637477, 1372637479, 1372637492, 1372637494, 1372637504, 1372637509, 1372637524, 1372637542, 1372637543, 1372637544, 1372637548, 1372637552, 1372637553, 1372637553, 1372637554, 1372637563, 1372637569, 1372637629, 1372637644, 1372637646, 1372637646, 1372637648, 1372637650, 1372637651, 1372637651, 1372637653, 1372637653, 1372637653, 1372637653, 1372637654, 1372637654, 1372637656, 1372637656, 1372637658, 1372637659, 1372637668, 1372637672, 1372637674, 1372637699, 1372637704, 1372637719, 1372637749, 1372637763, 1372637764, 1372637779, 1372637786, 1372637792, 1372637794, 1372637809, 1372637839]",20000657
9,8,"[241, 5497, 243, 7450, 8811, 7738, 7856, 8500, 7855, 7737, 8809, 8812, 245, 7938, 780, 8485, 8655, 837, 8276, 10300, 931, 10314, 6435, 937, 945, 933, 9738, 839, 7813, 843, 7894, 7892, 7890, 847, 952, 949, 948, 7016, 867, 8769, 10242, 7024, 7333, 9241, 10518, 10222, 10219, 10746, 2385, 10749, 898, 10227, 587, 10239, 10229, 1347, 10237, 903, 1339, 1327, 10232, 10235, 1321, 5603, 5585, 5569, 5567, 5562]","[1372637274, 1372637304, 1372637334, 1372637345, 1372637347, 1372637349, 1372637364, 1372637379, 1372637384, 1372637392, 1372637394, 1372637396, 1372637409, 1372637420, 1372637424, 1372637439, 1372637449, 1372637454, 1372637469, 1372637477, 1372637484, 1372637490, 1372637514, 1372637529, 1372637544, 1372637559, 1372637559, 1372637574, 1372637589, 1372637619, 1372637631, 1372637632, 1372637634, 1372637649, 1372637664, 1372637670, 1372637677, 1372637679, 1372637694, 1372637709, 1372637715, 1372637721, 1372637722, 1372637724, 1372637731, 1372637734, 1372637739, 1372637745, 1372637748, 1372637749, 1372637752, 1372637754, 1372637764, 1372637769, 1372637776, 1372637778, 1372637784, 1372637787, 1372637790, 1372637793, 1372637796, 1372637796, 1372637799, 1372637801, 1372637802, 1372637807, 1372637808, 1372637814]",20000403
10,7,"[734, 772, 1684, 7780, 770, 7781, 6773, 6774, 7842, 6454, 834, 833, 6785, 7985, 7987, 47, 40, 42, 60, 10056, 874, 5687, 1714, 821, 3277, 5416, 871, 564, 2606, 10058, 10062, 2457]","[1372637299, 1372637329, 1372637333, 1372637333, 1372637344, 1372637374, 1372637416, 1372637419, 1372637434, 1372637457, 1372637471, 1372637479, 1372637488, 1372637494, 1372637509, 1372637524, 1372637532, 1372637539, 1372637554, 1372637565, 1372637569, 1372637599, 1372637600, 1372637614, 1372637629, 1372637637, 1372637644, 1372637669, 1372637674, 1372637682, 1372637683, 1372637689]",20000011
11,1,"[5382, 10414, 10421, 10416, 1956, 5468, 265, 5430, 5423, 5482, 5428, 5455, 5442, 5457, 5432, 6804, 6810, 6816, 6812, 9138, 9139, 5478, 5458, 5485, 10988, 4109, 10803, 4979, 4113, 2742, 6699, 6687, 4133]","[1372637303, 1372637328, 1372637329, 1372637331, 1372637333, 1372637348, 1372637363, 1372637378, 1372637382, 1372637384, 1372637386, 1372637388, 1372637393, 1372637406, 1372637408, 1372637423, 1372637436, 1372637437, 1372637438, 1372637452, 1372637453, 1372637466, 1372637468, 1372637483, 1372637493, 1372637498, 1372637513, 1372637520, 1372637522, 1372637528, 1372637540, 1372637543, 1372637558]",20000596
12,12,"[52, 54, 57, 5135, 7069, 10404, 746, 10442, 740, 881, 892, 879, 8733, 2365, 1857, 911, 10443, 640, 641, 131, 8287, 2048, 8283, 126, 8, 2041, 6837, 2005, 5291, 2148, 10088, 2156, 6847, 6849, 6253, 6244, 6236, 6235, 6205]","[1372637343, 1372637403, 1372637433, 1372637439, 1372637447, 1372637448, 1372637458, 1372637463, 1372637508, 1372637523, 1372637538, 1372637553, 1372637568, 1372637573, 1372637578, 1372637583, 1372637613, 1372637623, 1372637628, 1372637643, 1372637658, 1372637680, 1372637688, 1372637703, 1372637718, 1372637729, 1372637733, 1372637737, 1372637741, 1372637748, 1372637754, 1372637757, 1372637763, 1372637765, 1372637778, 1372637786, 1372637789, 1372637793, 1372637808]",20000571
13,372,"[8810, 7450, 8809, 8812, 245, 7938, 780, 8485, 8655, 837, 8275, 778, 8300, 8792, 7715, 8784, 946, 31, 92, 7825, 90, 3098, 75, 8236, 5018, 4788, 18, 20, 8193, 8197, 8196]","[1372637369, 1372637381, 1372637393, 1372637399, 1372637414, 1372637425, 1372637429, 1372637436, 1372637444, 1372637459, 1372637466, 1372637467, 1372637474, 1372637478, 1372637485, 1372637489, 1372637534, 1372637568, 1372637594, 1372637624, 1372637639, 1372637654, 1372637657, 1372637669, 1372637699, 1372637714, 1372637729, 1372637744, 1372637754, 1372637755, 1372637759]",20000381
