name,address,pname,cityname,adname,adcode,lon_gcj02,lat_gcj02,typecode,大类,中类,小类,lon_wgs84,lat_wgs84
停车场(后村西路),西延路72号附近,陕西省,西安市,雁塔区,610113,108.974548,34.228806,150904,交通设施服务,停车场,公共停车场,108.96978384,34.23033023
钟楼地铁站出入口,地铁2号线,陕西省,西安市,碑林区,610103,108.948112,34.259258,150501,交通设施服务,地铁站,出入口,108.94343937,34.26083468
西安交通大学医学院第一附属医院停车场(朱雀大街南段),雁塔西路277号,陕西省,西安市,雁塔区,610113,108.937546,34.220665,150904,交通设施服务,停车场,公共停车场,108.93290601,34.22227518
幸福逸家停车场,更新街20号,陕西省,西安市,碑林区,610103,108.977951,34.260075,150905,交通设施服务,停车场,专用停车场,108.97317057,34.26157776
停车场(南院门),红缨东坊11号,陕西省,西安市,碑林区,610103,108.941078,34.255817,150904,交通设施服务,停车场,公共停车场,108.9364259,34.25740815
停车场(竹笆市),大车家巷45附近,陕西省,西安市,碑林区,610103,108.942276,34.255089,150904,交通设施服务,停车场,公共停车场,108.93762067,34.25667834
停车场(长兴路),长兴路4附近,陕西省,西安市,新城区,610102,109.005669,34.255024,150904,交通设施服务,停车场,公共停车场,109.00077139,34.25644603
西安交通大学医学校区停车场(雁塔西路),教学西路附近,陕西省,西安市,雁塔区,610113,108.940643,34.217339,150904,交通设施服务,停车场,公共停车场,108.93599519,34.21894526
停车场(光华路),光华路154附近,陕西省,西安市,雁塔区,610113,108.909447,34.232864,150904,交通设施服务,停车场,公共停车场,108.90485646,34.23449712
中大国际停车场(南大街),南大街14号,陕西省,西安市,碑林区,610103,108.945663,34.254112,150904,交通设施服务,停车场,公共停车场,108.9409981,34.25569549
停车场(柳荫路),0,陕西省,西安市,碑林区,610103,108.913666,34.24691,150904,交通设施服务,停车场,公共停车场,108.9090695,34.24853597
停车场(太白立交),永松路104附近,陕西省,西安市,雁塔区,610113,108.925751,34.229572,150904,交通设施服务,停车场,公共停车场,108.92113663,34.2311947
华旗国际广场停车场,城南小寨十字国贸南邻,陕西省,西安市,雁塔区,610113,108.947456,34.22192,150904,交通设施服务,停车场,公共停车场,108.94278839,34.22351207
停车场(文艺北路),文艺北路177附近,陕西省,西安市,碑林区,610103,108.954201,34.249886,150904,交通设施服务,停车场,公共停车场,108.9495098,34.25145351
停车场(西市东街),劳动南路176附近,陕西省,西安市,莲湖区,610104,108.908371,34.247944,150904,交通设施服务,停车场,公共停车场,108.90378033,34.24957178
钟楼地铁站出入口,地铁2号线,陕西省,西安市,碑林区,610103,108.947838,34.258789,150501,交通设施服务,地铁站,出入口,108.94316624,34.26036641
志诚酒店停车场(入口),高新一路2号,陕西省,西安市,莲湖区,610104,108.906036,34.239872,150907,交通设施服务,停车场,停车场入口,108.9014481,34.24150343
西安盛美利亚酒店停车场(曲江池西路),曲江池西路1666号附近,陕西省,西安市,雁塔区,610113,108.978539,34.208282,150904,交通设施服务,停车场,公共停车场,108.97376045,34.2098023
