traj_id,path,timestamp
0,"[6086, 2379, 2447, 2445, 3204, 2441, 1528, 156, 2402, 1211, 6646, 151, 4867, 4599, 4594, 4596, 4597, 163, 4868, 4870, 1124, 1143, 6423, 4848, 4847, 1056]","[1475251354, 1475251377, 1475251385, 1475251395, 1475251401, 1475251426, 1475251453, 1475251454, 1475251456, 1475251458, 1475251460, 1475251475, 1475251511, 1475251537, 1475251539, 1475251540, 1475251542, 1475251561, 1475251578, 1475251584, 1475251596, 1475251612, 1475251627, 1475251639, 1475251661, 1475251678]"
1,"[1152, 4877, 1205, 1181, 1110, 1091, 4876, 4242, 1144, 1146, 1170, 1195, 4191, 165, 1177, 1149, 3193, 1203, 162, 6657, 154, 3031, 6656, 160, 152, 1217, 6400, 734, 6193, 6408, 6199, 6192, 6203, 6200, 222, 4774, 2574, 2612, 6174, 6175, 2565, 22, 1047, 1059, 1036, 6164, 1665, 3064, 1400, 2586, 5151, 5296, 2895, 1691, 1685, 1686, 6424, 31, 3207, 4730]","[1475251468, 1475251475, 1475251494, 1475251518, 1475251528, 1475251544, 1475251569, 1475251578, 1475251586, 1475251602, 1475251610, 1475251613, 1475251616, 1475251620, 1475251624, 1475251644, 1475251685, 1475251703, 1475251706, 1475251710, 1475251715, 1475251718, 1475251719, 1475251721, 1475251734, 1475251749, 1475251757, 1475251764, 1475251773, 1475251783, 1475251787, 1475251793, 1475251816, 1475251837, 1475251841, 1475251856, 1475251870, 1475251889, 1475251910, 1475251919, 1475251925, 1475251930, 1475251942, 1475251954, 1475251960, 1475251963, 1475251970, 1475251980, 1475251997, 1475252021, 1475252040, 1475252058, 1475252069, 1475252082, 1475252099, 1475252129, 1475252158, 1475252191, 1475252232, 1475252285]"
2,"[4499, 4786, 3692, 3696, 3698, 4907, 3144, 6789, 2784, 4365]","[1475251470, 1475251479, 1475251494, 1475251527, 1475251571, 1475251622, 1475251639, 1475251687, 1475251702, 1475251739]"
3,"[5276, 5240, 411, 66, 5238, 2340, 576, 2326, 372, 593, 2667, 4459, 4448, 6395, 99, 1290, 98, 3540, 727, 6223, 145, 97, 984, 2632, 2656, 130, 128, 2203, 2789, 1376]","[1475251471, 1475251481, 1475251483, 1475251484, 1475251487, 1475251502, 1475251522, 1475251529, 1475251538, 1475251550, 1475251571, 1475251594, 1475251613, 1475251658, 1475251700, 1475251739, 1475251780, 1475251792, 1475251794, 1475251809, 1475251829, 1475251840, 1475251847, 1475251860, 1475251876, 1475251880, 1475251889, 1475251908, 1475251937, 1475251955]"
4,"[5680, 2941, 2963, 5164, 5173, 5166, 5175, 5177, 2589, 6024, 5297, 5298, 2895, 1690]","[1475251520, 1475251555, 1475251587, 1475251604, 1475251606, 1475251648, 1475251696, 1475251699, 1475251700, 1475251716, 1475251735, 1475251740, 1475251748, 1475251764]"
5,"[6417, 6414, 4243, 4236, 4247, 4261, 1204, 1153, 1425, 2164, 1172, 2172, 274, 4756]","[1475251535, 1475251553, 1475251570, 1475251594, 1475251615, 1475251650, 1475251683, 1475251700, 1475251719, 1475251732, 1475251746, 1475251768, 1475251785, 1475251820]"
6,"[5420, 3438, 3186, 15, 1684, 5135, 1066, 2764, 5360, 1681, 5176, 3304, 5154, 5155, 907, 17, 2309, 1040, 1037, 19, 1249, 5115, 2569, 21, 1824, 768, 6101, 6410, 6197, 2622, 6405, 4870, 1124, 1143, 6423, 4848, 4847, 1056]","[1475251569, 1475251584, 1475251594, 1475251605, 1475251615, 1475251629, 1475251653, 1475251669, 1475251673, 1475251674, 1475251676, 1475251687, 1475251698, 1475251702, 1475251723, 1475251753, 1475251768, 1475251777, 1475251790, 1475251802, 1475251807, 1475251816, 1475251830, 1475251870, 1475251914, 1475251924, 1475251938, 1475251956, 1475251974, 1475251992, 1475252046, 1475252099, 1475252116, 1475252138, 1475252159, 1475252176, 1475252196, 1475252214]"
7,"[4938, 1941, 796, 2972, 790, 797, 6073, 2714, 2945, 6047, 1876, 2112, 1236, 2106, 2870, 2860, 2989, 2987, 2866, 4943, 2406, 2557, 1852, 5490, 4690, 6430, 5496, 2753, 5253, 433]","[1475251581, 1475251599, 1475251624, 1475251641, 1475251669, 1475251700, 1475251709, 1475251710, 1475251710, 1475251720, 1475251737, 1475251749, 1475251767, 1475251794, 1475251834, 1475251882, 1475251900, 1475251902, 1475251908, 1475251915, 1475251950, 1475251992, 1475252010, 1475252019, 1475252020, 1475252021, 1475252036, 1475252053, 1475252065, 1475252128]"
8,"[3070, 496, 1347, 801, 6244, 527, 329, 463, 2731, 90, 4469, 96, 130, 129, 89, 93, 4719, 4510, 3332, 4470, 4468, 4442, 4436, 3757, 3667, 6334, 3669, 3058, 1404, 6333, 6335, 2522, 1148, 6609, 1166, 1792, 1169, 1200, 4715, 1176, 1185, 1191, 1154, 1158, 4226, 4682, 1187, 4841, 1179, 4256, 4840]","[1475251614, 1475251689, 1475251722, 1475251738, 1475251756, 1475251763, 1475251792, 1475251827, 1475251844, 1475251849, 1475251851, 1475251856, 1475251860, 1475251864, 1475251869, 1475251874, 1475251887, 1475251902, 1475251908, 1475251911, 1475251922, 1475251936, 1475251959, 1475251977, 1475251997, 1475252014, 1475252021, 1475252052, 1475252094, 1475252127, 1475252144, 1475252145, 1475252146, 1475252161, 1475252181, 1475252193, 1475252200, 1475252205, 1475252210, 1475252213, 1475252217, 1475252235, 1475252277, 1475252302, 1475252328, 1475252352, 1475252370, 1475252387, 1475252388, 1475252389, 1475252402]"
9,"[4492, 2591, 3755, 5672, 5659, 5675, 4855, 2564, 5, 4857, 6205, 3747, 741, 6207, 3733, 4830, 3735, 928, 1882, 933, 5696, 3711, 3713, 3705, 3707, 2663, 3708, 4570, 4560, 3450, 2599, 2604, 2603, 4377, 4380, 4374, 4366, 2886, 2883]","[1475251616, 1475251640, 1475251661, 1475251688, 1475251704, 1475251711, 1475251716, 1475251720, 1475251723, 1475251724, 1475251741, 1475251775, 1475251796, 1475251806, 1475251813, 1475251833, 1475251858, 1475251873, 1475251886, 1475251924, 1475251994, 1475252042, 1475252054, 1475252062, 1475252065, 1475252068, 1475252072, 1475252176, 1475252297, 1475252317, 1475252323, 1475252335, 1475252354, 1475252376, 1475252390, 1475252440, 1475252490, 1475252511, 1475252547]"
